SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,53,001,Washington,Adams County,1,20610,10595,10015,1897,964,933,3888,2011,1877,1546,815,731,2084,1117,967,14025,7206,6819,13279,6805,6474,8024,4211,3813,4811,2492,2319,4023,2050,1973,2361,1146,1215,1897,964,933,2095,1065,1030,2210,1159,1051,1774,947,827,1439,772,667,1296,671,625,1239,665,574,1144,578,566,1132,578,554,1015,515,500,1006,538,468,1012,504,508,990,493,497,852,424,428,596,292,304,398,200,198,264,119,145,251,111,140,28.4,27.8,28.9
050,53,001,Washington,Adams County,2,20609,10585,10024,1881,950,931,3862,1999,1863,1553,818,735,2098,1122,976,14059,7219,6840,13313,6818,6495,8048,4224,3824,4814,2498,2316,4010,2039,1971,2391,1159,1232,1881,950,931,2073,1054,1019,2206,1159,1047,1782,949,833,1452,777,675,1298,673,625,1242,665,577,1142,584,558,1132,576,556,1014,515,499,1002,534,468,1003,502,501,991,488,503,858,427,431,607,296,311,401,200,201,268,121,147,257,115,142,28.5,27.9,29.0
050,53,001,Washington,Adams County,3,20653,10610,10043,1844,936,908,3829,1965,1864,1615,852,763,2142,1158,984,14132,7268,6864,13365,6857,6508,8117,4269,3848,4787,2484,2303,3980,2026,1954,2456,1189,1267,1844,936,908,2006,1007,999,2250,1183,1067,1858,1002,856,1472,783,689,1268,662,606,1240,646,594,1167,622,545,1112,554,558,1000,510,490,1007,532,475,994,512,482,979,472,507,860,429,431,658,319,339,410,203,207,265,121,144,263,117,146,28.6,27.9,29.2
050,53,001,Washington,Adams County,4,20843,10672,10171,1805,942,863,3814,1941,1873,1668,868,800,2144,1138,1006,14376,7351,7025,13556,6921,6635,8298,4350,3948,4910,2563,2347,3974,2007,1967,2528,1213,1315,1805,942,863,1999,999,1000,2239,1161,1078,1920,1018,902,1468,769,699,1293,693,600,1266,635,631,1201,658,543,1150,577,573,1053,526,527,971,509,462,1005,521,484,945,451,494,858,421,437,682,327,355,455,224,231,272,125,147,261,116,145,28.8,28.1,29.5
050,53,001,Washington,Adams County,5,20857,10606,10251,1761,875,886,3699,1883,1816,1726,886,840,2225,1182,1043,14516,7396,7120,13671,6962,6709,8415,4378,4037,4908,2543,2365,3969,1998,1971,2569,1239,1330,1761,875,886,1931,972,959,2212,1144,1068,1998,1037,961,1509,798,711,1303,679,624,1244,628,616,1219,668,551,1142,568,574,1093,539,554,956,494,462,976,509,467,944,456,488,869,426,443,698,335,363,476,237,239,273,131,142,253,110,143,28.8,28.5,29.3
050,53,001,Washington,Adams County,6,21039,10690,10349,1720,860,860,3652,1851,1801,1744,889,855,2363,1241,1122,14784,7520,7264,13923,7090,6833,8669,4501,4168,5009,2607,2402,3955,1987,1968,2596,1255,1341,1720,860,860,1925,984,941,2174,1103,1071,2083,1065,1018,1577,829,748,1368,711,657,1261,660,601,1230,670,560,1150,566,584,1101,531,570,944,496,448,953,497,456,957,463,494,878,433,445,716,350,366,476,224,252,275,134,141,251,114,137,28.8,28.6,29.1
050,53,003,Washington,Asotin County,1,22288,10957,11331,1113,584,529,2296,1148,1148,1099,548,551,1491,754,737,18320,8945,9375,17780,8677,9103,7249,3604,3645,4942,2447,2495,6005,2918,3087,5342,2558,2784,1113,584,529,1256,644,612,1323,649,674,1250,625,625,1057,532,525,1209,593,616,1147,577,570,1346,657,689,1240,620,620,1212,606,606,1309,653,656,1646,815,831,1838,844,994,1672,859,813,1352,614,738,1042,503,539,660,311,349,616,271,345,45.8,45.0,46.8
050,53,003,Washington,Asotin County,2,22328,10968,11360,1109,587,522,2284,1143,1141,1106,550,556,1498,758,740,18374,8956,9418,17829,8688,9141,7264,3606,3658,4943,2444,2499,5992,2912,3080,5396,2574,2822,1109,587,522,1249,643,606,1318,646,672,1254,625,629,1067,537,530,1207,589,618,1147,575,572,1342,650,692,1247,630,617,1204,599,605,1307,651,656,1639,814,825,1842,848,994,1687,859,828,1368,622,746,1048,504,544,665,311,354,628,278,350,45.9,45.0,46.9
050,53,003,Washington,Asotin County,3,22476,10997,11479,1142,582,560,2252,1133,1119,1109,560,549,1484,751,733,18519,8992,9527,17973,8722,9251,7336,3661,3675,5022,2492,2530,5881,2838,3043,5586,2641,2945,1142,582,560,1268,676,592,1263,599,664,1243,628,615,1071,541,530,1222,604,618,1196,599,597,1338,648,690,1266,641,625,1183,581,602,1328,646,682,1539,764,775,1831,847,984,1756,870,886,1447,676,771,1028,485,543,706,323,383,649,287,362,45.9,44.8,46.9
050,53,003,Washington,Asotin County,4,22497,10962,11535,1112,570,542,2202,1121,1081,1101,557,544,1458,714,744,18627,8990,9637,18082,8714,9368,7391,3661,3730,5107,2521,2586,5782,2794,2988,5735,2685,3050,1112,570,542,1232,662,570,1245,590,655,1239,636,603,1045,504,541,1237,631,606,1253,621,632,1302,606,696,1315,663,652,1228,596,632,1295,637,658,1445,715,730,1814,846,968,1813,861,952,1450,702,748,1087,499,588,730,323,407,655,300,355,46.1,45.0,47.1
